task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	4d/4b3fda	46268	READCOUNT (sample)	COMPLETED	0	2026-08-05 02:52:12.963	63ms	12ms	-	-	-	-	-
2	24/615533	46266	BWA_MEM (sample)	COMPLETED	0	2026-08-05 02:52:12.956	104ms	21ms	-	-	-	-	-
3	df/cee9e8	46336	SAMTOOLS_SORT (sample)	COMPLETED	0	2026-08-05 02:52:13.069	61ms	25ms	-	-	-	-	-
4	0f/097efd	46363	INDEX_SORTED (sample)	COMPLETED	0	2026-08-05 02:52:13.145	60ms	13ms	-	-	-	-	-
5	eb/09e786	46390	ADD_READ_GROUPS (sample)	COMPLETED	0	2026-08-05 02:52:13.213	1.3s	1.3s	-	-	-	-	-
6	3c/10b178	46420	INDEX_RG (sample)	COMPLETED	0	2026-08-05 02:52:14.515	44ms	13ms	-	-	-	-	-
7	c7/fa90a1	46447	MARKDUPLICATES (sample)	COMPLETED	0	2026-08-05 02:52:14.566	2.8s	2.8s	-	-	-	-	-
8	97/55e85a	46509	INDEX_DEDUP (sample)	COMPLETED	0	2026-08-05 02:52:17.385	43ms	12ms	-	-	-	-	-
9	79/9d5e59	46537	HAPLOTYPECALLER (sample)	COMPLETED	0	2026-08-05 02:52:17.440	1.2s	1.1s	-	-	-	-	-
10	c3/22949a	46586	INDEX_GVCF (sample)	COMPLETED	0	2026-08-05 02:52:18.617	1s	989ms	-	-	-	-	-
11	72/6db680	46621	VARIANT_FILTRATION (sample)	COMPLETED	0	2026-08-05 02:52:19.646	1.2s	1.2s	-	-	-	-	-
12	3f/f3e787	46653	VEP (sample)	COMPLETED	0	2026-08-05 02:52:20.859	41ms	10ms	-	-	-	-	-
